Date,PM10 (ug/m3),NOx (ppb),SO2 (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),RF (mm)
18-05-2020,73.39,12.63,1.63,66.81,0.58,137.48,178.87,998.03,-0.01,31.23,0
19-05-2020,25.93,10.09,1.79,82.05,0.75,171.72,76.37,996.68,-0.01,28.4,0.03
20-05-2020,30.28,9.39,2.83,97.36,1.22,219.75,48.81,982.64,-0.16,24.45,0.05
21-05-2020,15.61,11.95,2.42,92.3,1,281.9,78.87,993.85,0.05,24.7,0.04
22-05-2020,42.32,11.19,2.78,82.45,0.46,187.66,185.94,998.64,0.01,28.26,0.03
23-05-2020,67.77,8.32,2.42,82.52,0.59,147.04,172.67,999.62,-0.03,29.78,0.03
24-05-2020,65.7,8.49,2.04,82.57,0.46,151.84,138.27,999.13,-0.02,29.72,0.03
25-05-2020,61.69,8.67,1.37,81.62,0.51,152.96,99.84,999.5,-0.03,29.58,0.02
26-05-2020,50.77,8.7,1.75,81.74,0.56,152.15,105.36,999.36,-0.04,29.31,0.02
27-05-2020,47.55,8.87,2.21,82.31,0.62,161.27,115.05,998.29,-0.02,28.23,0.03
28-05-2020,38.06,13.07,2.78,91.84,0.51,186.01,73.51,999.28,0.02,24.18,0.04
29-05-2020,40.33,11.36,2.77,78.87,0.52,167.2,194.54,999.42,0.01,28.93,0.02
30-05-2020,38.49,9.36,3.26,77.14,0.66,146.41,169.49,999.92,-0.01,29.47,0.02
31-05-2020,37.33,10.97,3.62,75.07,0.45,181.21,165.11,1000.33,0.01,29.07,0.01
01-06-2020,161.58,103.93,4.87,76.06,0.36,271.95,72.27,997.67,0.04,16.96,0.01
02-06-2020,177.28,59.69,8.29,62.86,0.22,221.43,76.92,998.41,0.04,20.59,0
03-06-2020,95.01,34.92,5.75,77.48,0.49,153.28,110.85,999.81,0.02,24.11,0.02
04-06-2020,68.07,13.44,4.31,51.31,0.38,259.18,148,905.6,0.04,30.84,0
05-06-2020,33.38,12.31,2.79,81.07,0.44,206.03,161.85,1000.36,0.02,26.79,0.02
06-06-2020,49.9,9.97,1.99,73.26,0.4,201.23,157.4,998.41,0.02,31.56,0.01
07-06-2020,107.34,14.06,18.71,94.27,0.6,147.23,125.57,993.36,0.01,27.73,0.05
08-06-2020,13.6,14.42,7.6,98.16,0.64,161.55,90.35,996.21,0.01,26.78,0.06
09-06-2020,22.47,10.14,3.66,86.33,0.38,163.68,201.97,999.22,-0.02,29.9,0.03
10-06-2020,33.38,16.58,6.27,90.91,0.55,167.09,154.39,998.82,0.02,28,0.04
11-06-2020,194.85,61.47,18.96,49.18,0.26,201.3,102.79,996.33,0.05,25.48,0
12-06-2020,171.53,57.19,11.89,76.39,0.17,192.24,45.37,998.74,0.04,22.71,0.01
13-06-2020,27.46,13.51,1.21,94.84,0.68,139.24,93.09,995.85,0.02,28.03,0.05
14-06-2020,17.5,12.68,2.45,97.63,0.6,137.22,80.09,997.12,0.01,27.39,0.05
15-06-2020,20.76,13.15,3.81,91.88,0.55,138.18,119,996.53,0,28.12,0.04
16-06-2020,24.04,14.04,6,95.28,0.57,136.23,121.76,995.05,0.01,27.62,0.05
17-06-2020,35.04,12.4,8.43,91.93,0.27,168.63,110.5,994.44,0.02,28.31,0.04
18-06-2020,31.08,11.48,7.81,90.67,0.38,133.21,109.9,995.67,0,28.67,0.04
19-06-2020,35.34,13.79,6.33,89.07,0.61,142.68,122.43,996.84,-0.01,29.01,0.04
20-06-2020,30.66,11.4,5.72,87.86,0.81,142.53,144.12,996.66,0,28.94,0.04
21-06-2020,27.25,11.16,7.03,94.4,0.65,141.47,95.11,994.82,0.01,27.81,0.05
22-06-2020,34.42,11.98,6.55,90.07,0.85,141.99,140.07,996.07,-0.01,28.52,0.04
23-06-2020,41.63,11.45,5.16,89.5,0.59,136.64,128.26,998.75,0,28.97,0.04
24-06-2020,45.46,9.8,8.34,81.64,0.4,146.04,223.85,999.38,0,30.4,0.02
25-06-2020,41.59,9.72,9.52,78.28,0.34,168.62,193.32,999.11,0.01,30.24,0.02
26-06-2020,25.61,10.63,9.32,79.81,0.38,170.76,166.03,999.08,0,29.39,0.02
27-06-2020,24.16,11.72,8.66,89.76,0.38,175.68,105.2,998.38,0.02,27.73,0.04
28-06-2020,22.55,11.36,8.56,92.35,0.36,174.44,134.77,998.52,0.03,27.27,0.04
29-06-2020,26.64,14.41,9.35,92.53,0.35,146.74,103.67,998.64,0.03,27.64,0.04
30-06-2020,24.83,12.98,5.48,85.7,0.29,163.5,150.92,998.6,0.02,29.48,0.03
01-07-2020,185.15,58.41,6.93,79.01,0.45,290.85,68.37,996.76,0.04,16.26,0.02
02-07-2020,195.55,48.2,9.61,53.95,0.36,231.38,62.21,998.7,0.02,20,0
03-07-2020,83.44,31.53,4.09,86.7,0.44,186.45,99.94,999.55,0.02,23.36,0.03
04-07-2020,74.91,12.12,7.7,56.15,0.42,217.6,141.95,1000.39,0.01,30.6,0
05-07-2020,35.77,10.06,2.23,74.48,0.4,166.6,186.37,1000.37,0.01,28.33,0.01
06-07-2020,54.02,10.77,1.71,82.07,0.33,177.57,126.43,998.27,0.03,29.49,0.03
07-07-2020,107.34,12.35,22.8,92.37,0.72,147.47,34.78,997.52,0.01,28.58,0.04
08-07-2020,24.59,12.97,6.09,93.07,0.46,154.81,135.87,997.82,0.01,28.6,0.05
09-07-2020,18.92,9.3,4.17,87.38,0.34,165.17,164.23,999.38,0,29.6,0.04
10-07-2020,36.63,14.72,5.75,94.27,0.47,164.02,130.77,999.82,0.02,27.72,0.05
11-07-2020,221.12,60.86,23.63,50.17,0.41,242.11,111.08,998.26,0.05,24.44,0
12-07-2020,172.96,81.26,10.39,73.11,0.24,226.1,48.79,997.21,0.04,23.06,0.01
13-07-2020,107.34,13.63,28.44,91.62,0.43,163.4,137.76,1000.35,0.03,28.35,0.04
14-07-2020,107.34,12.24,22.4,85.35,0.83,164.22,142.88,1000.42,0.01,29.31,0.03
15-07-2020,12.6,12.58,10.02,89,0.65,160.05,137.29,997.69,0,28.26,0.04
16-07-2020,15.95,11.2,8.68,81.76,0.7,156.21,143.77,997.57,-0.02,29.48,0.02
17-07-2020,13.59,11.1,18.02,81.45,0.75,156.35,144.54,998.48,-0.03,29.63,0.02
18-07-2020,27.37,13.67,22.99,81.35,0.45,161.96,147.18,998.8,-0.02,30.13,0.02
19-07-2020,23.03,11.03,6.99,84.08,0.37,192.72,142.95,998.92,0,29.33,0.03
20-07-2020,22.74,13.38,12.92,89.32,0.32,171.9,139.61,998.34,0,28.7,0.04
21-07-2020,30.4,13.54,20.29,93.01,0.26,203.15,134.66,999,0.02,27.77,0.05
22-07-2020,23.26,15.26,13.99,93.68,0.24,186.38,134.13,998.61,0.03,27.67,0.05
23-07-2020,12.7,11.29,13.51,96.83,0.4,179.87,125.76,998.58,0.02,26.09,0.05
24-07-2020,31.53,15.25,15.9,93.75,0.48,155.04,134.11,999.81,0.01,27.66,0.05
25-07-2020,34.03,12.66,18.11,85.6,0.32,172.97,141.76,1000.44,0.01,29.1,0.03
26-07-2020,32.49,12.18,22.37,84.32,0.33,209.74,148.13,999.31,0.03,30.3,0.03
27-07-2020,40.14,18.62,26.08,91.07,0.33,185.27,141.88,998.56,0.02,29.13,0.04
28-07-2020,40.81,16.41,16.56,88.96,0.42,158.15,142.82,998.94,0.01,29.3,0.04
29-07-2020,22.59,10.54,11.4,91.56,0.52,172.27,136.54,999.49,0,28.12,0.04
30-07-2020,14.82,10.8,12.71,83.08,0.46,160.08,145.91,999.15,-0.01,29.89,0.03
31-07-2020,10.66,12.14,13.24,85.69,0.47,159.72,144.54,998.52,0,29.63,0.03
01-08-2020,190.56,70.05,4.32,74.85,0.24,252.03,70.59,997.76,0.04,18.22,0.01
02-08-2020,272.06,52.21,16.08,64.87,0.47,318.96,51.88,998.67,0.05,18.47,0
03-08-2020,102.05,41.57,4.05,74.54,0.51,261.97,121.06,999.48,0.04,24.55,0.01
04-08-2020,58.27,11.66,5.38,49.93,0.42,224.74,107.65,1000.37,0.03,29.56,0
05-08-2020,44.43,9.85,2.38,72.97,0.46,163.16,185.01,1000.42,0,28.72,0.01
06-08-2020,51.66,14.14,2.3,83.87,0.33,175.03,149.5,997.74,0.03,29.36,0.03
07-08-2020,107.34,13.31,29.56,88.6,0.53,217.18,57.09,1000.39,0.03,29.37,0.04
08-08-2020,29.98,10.87,5.43,91.99,0.49,165.05,104.7,995.91,0.02,29.16,0.04
09-08-2020,32.32,13.88,4.73,91.33,0.32,191.19,147.32,999.74,0.02,28.8,0.04
10-08-2020,47.45,19.06,4.31,91.7,0.18,204,103.43,999.35,0.05,28.13,0.04
11-08-2020,173.99,63.29,20.98,57.29,0.39,245,119.81,998.58,0.05,24.31,0
12-08-2020,233.49,72.44,8.22,89.25,0.36,225.05,84.36,997.35,0.04,21.25,0.04
13-08-2020,16.03,11.67,7.46,85.32,1.11,159.61,169.6,994.62,-0.01,29.65,0.03
14-08-2020,18.57,13.63,7.19,91.76,0.99,164.17,159.84,992.26,-0.03,28.88,0.04
15-08-2020,14.99,11.53,6.32,95.9,0.97,158.64,107.98,990.5,-0.05,28.07,0.05
16-08-2020,21.33,11.46,6.52,91.98,0.66,155.9,157.25,992.87,-0.01,28.57,0.04
17-08-2020,24.1,13.85,6.46,97.43,0.58,148.84,73.79,994.59,0,27.3,0.05
18-08-2020,22.61,15.28,5.06,95.23,0.44,156.05,86.12,994.93,0.02,27.33,0.05
19-08-2020,16.68,13.43,6.52,96.2,0.98,164.18,116.45,992.36,-0.03,27.01,0.05
20-08-2020,10.91,10.94,6.95,98.67,1.18,157.67,69.77,994.9,-0.02,26.35,0.06
21-08-2020,21.74,10.01,3.39,98.79,0.91,150.82,53.6,998.94,-0.02,25.97,0.06
22-08-2020,26.85,21.76,3.01,97.24,0.3,172.48,88.4,999.49,0.03,26.94,0.05
23-08-2020,35.08,14.3,3.23,95.33,0.28,208.35,100.63,998.84,0.03,27.62,0.05
24-08-2020,39.49,25.81,3.05,94.63,0.38,283.13,99.83,998.48,0.04,27.25,0.05
25-08-2020,48.79,20.3,2.83,87.14,0.54,240.41,188.41,997.11,0.02,29.18,0.03
26-08-2020,19.42,13.55,4.75,97.07,0.99,182.27,113.38,995.44,-0.03,27.1,0.05
27-08-2020,17.49,8.91,2.74,98.35,1,148.87,75.49,998.44,-0.03,26.22,0.06
28-08-2020,31.66,10.89,2.38,92.89,0.47,168.54,165.11,998.66,-0.01,28.07,0.05
29-08-2020,38.58,10.56,4.08,87.31,0.33,168.77,183.78,999.36,0,29.68,0.04
30-08-2020,43.66,13.18,5.14,84.7,0.33,221.66,146.1,999.11,0.02,30.41,0.03
31-08-2020,50.54,11.57,4.69,85.07,0.34,240.72,124.51,999.01,0.03,30.83,0.03
01-09-2020,131.86,60.3,5.5,81.47,0.25,209.77,56.5,998.51,0.04,18.32,0.02
02-09-2020,219.02,61.01,13.67,57.77,0.57,297.75,80.65,999.26,0.05,19.81,0
03-09-2020,151.69,41.43,5.04,53.86,0.36,267,132.79,999.29,0.04,24.61,0
04-09-2020,51.9,12.46,7.15,45.89,0.39,215.51,144.69,1000.38,0.02,29.23,0
05-09-2020,66.2,10.45,2.01,67.42,0.39,200.33,205.32,1000.38,0.03,31.06,0
06-09-2020,50.21,11.85,1.66,78.57,0.42,153.63,189.59,997.97,0.02,30.87,0.02
07-09-2020,107.34,12,24.97,87.5,0.69,267.45,144.03,1000.38,0.06,29.53,0.04
08-09-2020,18.53,10.76,4.1,90.2,0.86,156.58,163.21,995.75,0,28.67,0.04
09-09-2020,42.8,14.77,2.98,88.32,0.26,190.97,140.73,999.06,0.02,29.24,0.04
10-09-2020,60.25,22.61,5,90.33,0.31,265.41,151.59,999.39,0.04,28.78,0.04
11-09-2020,140.69,84.09,13.9,64.03,0.22,205.06,113.37,997.53,0.03,24.86,0
12-09-2020,257.3,64.51,8.32,88.44,0.35,250.13,155.12,998.14,0.04,20.98,0.04
13-09-2020,20.54,11.71,7.72,89.28,0.57,154.13,110.24,1000.48,0,29.11,0.04
14-09-2020,17.68,12.11,6.3,88.05,0.57,154.59,89.67,999.47,0.02,29.31,0.04
15-09-2020,29.03,13.1,3.95,92.95,0.46,170.9,55.63,999.56,0.01,28.45,0.05
16-09-2020,23.33,10.17,5.76,86.79,0.45,155.2,138.19,999.08,0,29.75,0.03
17-09-2020,26.42,10.14,6.81,85.34,0.42,161.09,155.38,998.81,-0.01,30.18,0.03
18-09-2020,34.61,16.39,6.67,84.72,0.38,209.14,153.95,998.32,0.01,29.98,0.03
19-09-2020,49.77,22.74,6.78,80.23,0.29,260.09,116.29,996.34,0.03,30.6,0.02
20-09-2020,44.38,17.52,6.35,90.1,0.63,207.62,85.9,994.57,0.03,28.79,0.04
21-09-2020,23.27,12.33,7.14,95.59,0.98,161.68,81.43,994.42,0,27.68,0.05
22-09-2020,28.2,14.05,5.48,96.22,0.75,149.87,70.37,997.29,-0.02,27.85,0.05
23-09-2020,26.07,12.46,5.65,97.9,0.55,148.67,64.05,999.01,-0.01,27.05,0.05
24-09-2020,30.82,10.85,6.7,95.56,0.39,152.09,107.57,999.77,-0.01,28.17,0.05
25-09-2020,37.97,13.2,6.14,97.48,0.25,195.21,93.47,998.93,0.03,27.61,0.05
26-09-2020,46.73,14.88,5.69,97.17,0.56,147.78,93.26,998.41,-0.01,27.68,0.05
27-09-2020,52.39,14.97,8.52,83.55,0.42,221.98,186.06,998.95,0.03,29,0.03
28-09-2020,83.19,18.34,5.85,92.05,0.2,210.2,111.92,999.23,0.06,28.74,0.04
29-09-2020,45.59,18.13,10.56,84.98,0.36,187.47,182.21,998.73,0.03,29.66,0.03
30-09-2020,34.8,18.28,8.28,85.35,0.45,201.49,112.47,998.58,0.03,29.42,0.03
01-10-2020,125.05,53.11,12.43,71.3,0.7,326.05,68.66,998.05,0.05,18.13,0.01
02-10-2020,204.6,83.93,10.03,51.22,0.47,285.68,77.86,998.49,0.04,19.17,0
03-10-2020,174.72,40.31,6.04,54.68,0.33,235.9,124.69,998.76,0.04,24.78,0
04-10-2020,42.77,9.61,3.61,69.32,0.33,165.45,140.92,1000.43,0.01,29.33,0
05-10-2020,50.3,9.88,2.73,73.69,0.48,168.96,222.49,1000.43,0.01,30.06,0.01
06-10-2020,36.55,12.42,1.91,81.14,0.68,160.72,136.17,997.67,-0.01,29.86,0.02
07-10-2020,107.34,10.31,18.36,81.68,0.69,270.52,147.25,1000.4,0.06,30.14,0.02
08-10-2020,18.89,11.62,4.54,87.72,0.82,154.28,157.77,996.5,0,29.5,0.04
09-10-2020,34.46,13.12,3.93,93.41,0.25,181.92,109.89,998.43,0.02,28.7,0.05
10-10-2020,64.43,35.84,5.33,84.13,0.45,268.07,78.56,1000,0.05,29.5,0.03
11-10-2020,119.71,59.7,9.93,58.83,0.3,236.83,120.99,997.69,0.03,26.68,0
12-10-2020,238.09,89.25,8.73,85.4,0.35,207.63,148.76,997.79,0.04,21.18,0.03
13-10-2020,67.14,23.84,7.99,79.9,0.58,173.27,136.62,999.4,0.02,30.24,0.02
14-10-2020,35.82,17.15,8.49,82.52,0.75,165.61,126.89,999.98,0.01,29.66,0.03
15-10-2020,36.8,18.84,6.79,82.34,0.65,175.82,143.8,999.65,0.01,29.45,0.03
16-10-2020,88.27,42.29,10.62,83.9,0.35,232.9,108.79,999.57,0.04,29.05,0.03
17-10-2020,109.26,22.82,6.29,78.14,0.34,284.44,123.7,999.57,0.04,30.18,0.02
18-10-2020,105.05,25.79,5.02,86.29,0.45,206.74,92.71,999.32,0.02,29.08,0.03
19-10-2020,73.88,35.58,5.02,89.82,0.32,253.48,141.8,999.99,0.04,28.24,0.04
20-10-2020,101.04,21.15,7.56,80.14,0.57,221.46,159.16,999.69,0,29.52,0.02
21-10-2020,28.13,16.79,6.06,87.53,0.87,185.78,146.67,999.69,-0.01,28.12,0.04
22-10-2020,27.86,18.4,6.09,95.35,0.59,214.07,102.51,999.5,-0.04,25.72,0.05
23-10-2020,32.34,17.17,6.17,98.25,0.83,273.82,40.22,998.14,0.05,24.93,0.06
24-10-2020,44.08,25.85,7.11,86.77,0.59,290.59,138.98,999.9,0.04,26.54,0.03
25-10-2020,76.05,24.32,8.16,83.54,0.34,258.81,166.52,999.69,0.04,27.62,0.03
26-10-2020,120.45,40.09,10.74,70.68,0.33,262.28,155.54,999.69,0.04,27.34,0
27-10-2020,144.2,42.54,14.12,59.02,0.33,241.08,172.7,993.04,0.04,27.14,0
28-10-2020,171.83,39.84,13.8,66.41,0.5,305.5,170.5,997.9,0.05,27.01,0
29-10-2020,125.23,33.35,12.3,69.55,0.6,269.28,166.1,999.04,0.05,28.1,0
30-10-2020,113.83,29.21,14.94,67.35,0.81,287.87,176.31,999.56,0.05,28.48,0
31-10-2020,113.04,25.13,13.16,76.99,0.61,225.63,119.08,999.83,0.04,27.49,0.02
01-11-2020,138.16,63.87,11.34,74.36,0.61,305.53,68.78,998.65,0.04,16.14,0.01
02-11-2020,286.74,136.67,10.22,51.99,0.4,259.68,79.76,997.07,0.05,19.39,0
03-11-2020,150.21,28.49,7.65,61.11,0.47,265.21,120.63,999.47,0.04,26.34,0
04-11-2020,44.3,9.46,2.82,67.18,0.43,193.58,136.87,1000.42,0,29.8,0
05-11-2020,54.8,12.28,4.87,66.22,0.49,238.89,204.77,1000.29,0.03,28.51,0
06-11-2020,23.99,13.04,1.88,91.96,0.68,149.08,81.62,996.39,0,27.98,0.04
07-11-2020,107.34,11.14,22.51,90.77,0.69,270.52,138.51,1000.41,0.06,28.49,0.04
08-11-2020,21.44,10.79,6.08,86.54,0.47,161.66,140.21,996.06,-0.01,29.98,0.03
09-11-2020,19.46,9.48,9.73,86.23,0.54,152.58,165.69,998.86,-0.01,29.33,0.03
10-11-2020,81.73,28.26,6.87,84.52,0.3,257.15,60.62,999.17,0.04,29.16,0.03
11-11-2020,98.88,54.07,9.26,52.86,0.35,267.55,112.84,998.5,0.01,27.56,0
12-11-2020,200.97,51.11,9.1,93.01,0.33,242.84,105.46,998.61,0.04,18.9,0.05
13-11-2020,109.19,36.1,13.91,49.63,0.46,211.06,113.79,997.56,0.04,27.35,0
14-11-2020,148.4,44.33,15.41,47.44,0.46,214.75,130.41,998.57,0.05,26.7,0
15-11-2020,163.13,46.15,16.15,48.17,0.42,228.98,132.38,998.8,0.05,26.19,0
16-11-2020,146.75,55.12,19.87,51.17,0.4,256.4,117.51,999,0.05,25.58,0
17-11-2020,203.7,62.78,25.54,62.21,0.35,226.56,105.97,998.61,0.05,25.02,0
18-11-2020,178.86,42.94,14.33,67.25,0.31,198.6,96.6,999.21,0.04,25.78,0
19-11-2020,108.14,30.72,10.99,77.09,0.27,233.25,103.77,999.69,0.04,25.86,0.02
20-11-2020,125.34,34.83,10.45,80.09,0.31,269.28,116.55,999.35,0.04,26.84,0.02
21-11-2020,178.82,48.65,9.68,94.78,0.41,288.91,64.83,998.59,0.05,23.57,0.05
22-11-2020,155.59,58.92,10.05,57.15,0.52,232.58,105.73,998.75,0.06,22.31,0
23-11-2020,167.79,113,8.58,53.57,0.32,216.61,11.2,997.41,0.04,21.07,0
24-11-2020,194.88,81.33,10.49,61.47,0.3,216.91,60.44,997.61,0.05,21.24,0
25-11-2020,181.8,75.08,12.98,68.67,0.33,225.12,63.01,998,0.05,21.87,0
26-11-2020,190.21,82.06,16.25,73.83,0.29,242.01,56.45,997.08,0.05,22.02,0.01
27-11-2020,163.77,52.94,16.06,65.24,0.71,231.8,69.06,998.86,0.06,23.2,0
28-11-2020,154.88,60.31,12.96,58.68,0.6,211.18,72.41,998.85,0.06,23.08,0
29-11-2020,189.99,83.54,13.51,58.51,0.41,195.4,76.43,998.5,0.06,22.45,0
30-11-2020,189.44,110.44,15.5,53.6,0.4,222.93,73.93,997.12,0.05,22.11,0
01-12-2020,115.6,54.36,9.65,69.25,0.56,299.86,71.29,999.16,0.04,16.77,0
02-12-2020,260.43,160.94,9.08,53.13,0.45,253.27,80.79,996.84,0.04,19.39,0
03-12-2020,147.42,28.87,7.58,66.54,0.44,254.03,131.66,999.75,0.04,26.58,0
04-12-2020,66.89,9.51,2.93,69.5,0.8,142.82,121.3,1000.43,-0.01,28.54,0
05-12-2020,75.86,14.16,7.62,63.44,0.35,201.81,217.97,1000.37,0.03,30.79,0
06-12-2020,28.45,13.28,4.09,97.46,0.67,141.42,72.64,995.28,0.01,26.97,0.05
07-12-2020,107.34,11.69,25.68,87.29,0.69,227.6,143.36,1000.39,0.04,29.4,0.04
08-12-2020,23.05,13.43,5.48,86.22,0.58,160.98,104.33,995.87,0.01,29.93,0.03
09-12-2020,21.68,10.95,7.38,86.03,0.53,156.23,131.66,1000.47,0,29.45,0.03
10-12-2020,95.09,35.75,10.33,80.39,0.36,211.09,137.91,998.66,0.04,29.98,0.02
11-12-2020,134.33,48.65,23,52.59,0.55,195.31,83.57,997.98,0.06,26.93,0
12-12-2020,205.44,62.4,11.95,83.15,0.35,242.39,45.46,998.61,0.04,19.36,0.03
13-12-2020,172.04,100.16,9.41,80.41,0.25,224.18,44.67,997.53,0.05,20.99,0.02
14-12-2020,181.57,83.17,8.19,71.82,0.3,179.6,47.09,997.07,0.05,22.01,0.01
15-12-2020,167.75,73.6,10.77,62.61,0.36,221.55,44.44,997.63,0.05,22.24,0
16-12-2020,186.89,77.39,13.76,57.45,0.32,218.72,45.8,995.77,0.04,22.41,0
17-12-2020,197.83,89.87,12.27,61.23,0.37,211.2,46.4,997.16,0.05,21.27,0
18-12-2020,163.48,77.2,13.29,59.26,0.41,212.74,49.17,997.96,0.05,19.66,0
19-12-2020,151.99,62.79,10.89,47.96,0.49,268.28,50.79,998.71,0.05,17.69,0
20-12-2020,156.29,66.98,11.14,52.18,0.48,215.8,51.35,998.97,0.05,17.14,0
21-12-2020,199.44,90.68,11.95,66.05,0.41,266.87,46.97,998.03,0.05,17.1,0
22-12-2020,352.98,110.11,13.48,71.47,0.3,259.12,46.31,997.23,0.04,17.7,0.01
23-12-2020,215.49,117.9,9.31,71.59,0.31,232.33,47.77,996.64,0.05,18.61,0.01
24-12-2020,254.9,140.01,8.84,68.66,0.28,204.61,48.89,995.54,0.05,19.61,0
25-12-2020,263.21,87.91,9.57,66.58,0.28,252.58,49.32,997.03,0.04,19.33,0
26-12-2020,250.52,94.46,9.35,58.34,0.37,222.52,48.57,997.45,0.05,18.43,0
27-12-2020,236.99,108.43,10.91,54.83,0.35,220.87,47.93,998.05,0.05,18.03,0
28-12-2020,289.48,145.28,6.78,62.75,0.28,228.92,46.67,996.11,0.04,17.93,0
29-12-2020,374.02,163.14,11.55,63.76,0.25,168.23,46.4,994.53,0.04,18.47,0
30-12-2020,269.34,98.18,7.68,60.12,0.33,169.03,45.97,996.59,0.04,19.05,0
31-12-2020,229.6,82.54,13.23,51.97,0.43,221.41,48.8,997.66,0.05,19.5,0
01-01-2021,238.57,101.45,12.26,57.83,0.48,226.07,50.68,997.45,0.05,18.85,0
02-01-2021,219.13,88.14,10.44,56.27,0.4,271.63,57.53,998.53,0.04,16.98,0
03-01-2021,109.14,32.56,9.66,67.04,0.45,210.41,73.24,999.34,0.02,27.9,0
04-01-2021,142.92,27.63,8.65,64.05,0.45,178.69,94.51,997.35,0,30.76,0
05-01-2021,80.53,23.94,9.79,53.17,0.42,190.99,98.37,1000.26,0,30.14,0
06-01-2021,56.43,17.84,2.4,91.49,0.79,169.71,174.88,1000.29,0,29.86,0.04
07-01-2021,42.37,22.48,7.43,99.38,0.74,158.32,63.51,999.69,0.02,26.42,0.06
08-01-2021,50.74,15.87,8.71,98.06,0.59,178.7,186.45,996.35,0.02,29.83,0.06
09-01-2021,29.16,29.34,7.37,94.66,0.54,153.31,183.61,1000.53,0.02,29.57,0.05
10-01-2021,27.28,28.74,6.53,96.21,0.73,134.25,155.24,1000.48,0.03,29.26,0.05
11-01-2021,145.38,80.95,21.27,68.43,0.67,243.77,148.56,1000.14,0.05,26.21,0
12-01-2021,184.06,139.96,25.46,79.62,0.79,282.01,135.42,1000.02,0.06,22.92,0.02
13-01-2021,144.26,41.31,4.88,65.19,0.38,206.9,49.99,999.65,0,19.25,0
14-01-2021,208.01,49.01,7.09,61.24,0.37,216.29,48.2,999.66,0.02,19.43,0
15-01-2021,239.81,59.64,9.95,58.46,0.25,241.75,48.58,998.87,0.03,19,0
16-01-2021,234.23,52.61,9.16,69.65,0.37,209.66,46.61,998.89,0.03,18.16,0
17-01-2021,281.79,58.53,8.93,70.9,0.35,225.75,47.73,999.11,0.04,17.96,0
18-01-2021,256.96,83.93,10.22,76.87,0.24,257.39,49.2,998.61,0.04,17.05,0.02
19-01-2021,209,54.44,8.43,81.15,0.24,168.34,45.71,999.38,0.03,23.3,0.02
20-01-2021,159.84,80.47,13.14,83.39,0.4,228.05,42.55,998.11,0.04,23.19,0.03
21-01-2021,196.77,114.55,13.79,55.74,0.34,236.68,54.31,997.86,0.04,22.18,0
22-01-2021,185.88,92.68,8.84,57.21,0.33,243.79,51.38,998.65,0.03,19.86,0
23-01-2021,226.29,92.05,12.29,72.87,0.37,268.12,53.26,998.44,0.04,18.4,0.01
24-01-2021,223.2,71.43,13.89,70.26,0.42,186.11,54.41,999.37,0.02,20.43,0
25-01-2021,233.83,79.11,17.58,71.21,0.33,171.95,44.38,998.8,0.04,20.92,0.01
26-01-2021,212.57,80.89,12.57,77.39,0.54,192.48,51.34,999.22,0.06,18.73,0.02
27-01-2021,217.91,88.72,16.57,61.5,0.57,238.14,53.73,999.1,0.06,18.15,0
28-01-2021,209.79,89.19,13.54,60.71,0.53,192.34,57.05,998.68,0.05,17.71,0
29-01-2021,207.22,79.98,12.37,63.39,0.39,276.47,53.37,999.01,0.04,18.8,0
30-01-2021,261.82,93.83,17.48,58.08,0.47,237.52,52.33,998.84,0.05,18.15,0
31-01-2021,235.24,66.8,11.13,56.64,0.53,211.63,54.22,999.03,0.05,17.08,0
01-02-2021,356.2,135.27,13.47,60.06,0.33,263.32,49.49,997.14,0.04,18.51,0
02-02-2021,237.9,156.31,11,52.26,0.35,215.37,58.23,997.2,0.05,18.04,0
03-02-2021,123.24,26.35,10.32,75.87,0.5,188.66,68.12,999.78,0.02,27.05,0.01
04-02-2021,126.2,25.52,6.42,71.18,0.58,165.58,95.57,999.72,-0.01,29.68,0.01
